space_weight_kg,thrust_kN,power_capacity_kWh,engine_class,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Zone,Average_Threat_Angle_Offset,DangerScore,DangerLabel,FuelUsed,fuel_cost,total_cost,CurrentHeading,PredictedHeading,TurnDirection,AdjustedForThreats,AngleDensity,TurnAngle,MomentumBias,ThreatsLeft,ThreatsRight,Reason,TripScore,Evaluation,Comments
2086,67.2,281.1,Plasma-A,8,6.79,0.99,0,0.32,5,5,yellow,87.4,0.574,Medium,2.088,10.44,10.44,260,260,none,False,0.32,0,,5,5,No threats detected,0.687,Good,Safe with minor inefficiencies
1418,52.6,210.4,Fusion-B,4,5.22,0.67,1,0.8,1,2,yellow,53.2,0.521,Medium,1.4,7.0,7.0,98,46,left,True,0.8,52,left,1,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.62,Good,Safe with minor inefficiencies
1540,54.1,151.9,Ion-A,1,5.16,0.13,2,0.37,0,4,red,25.8,0.312,Low,0.839,4.2,4.2,269,234,left,True,0.37,35,left,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.764,Good,Safe with minor inefficiencies
2077,65.8,296.4,Fusion-B,2,1.81,0.63,4,0.38,3,1,green,52.2,0.412,Medium,1.592,7.96,7.96,92,127,right,True,0.38,35,right,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.694,Good,Safe with minor inefficiencies
1569,78.2,258.2,Plasma-A,7,1.37,0.92,0,0.57,3,2,red,16.9,0.991,High,2.343,11.71,11.71,121,121,none,False,0.57,0,right,3,2,No threats detected,0.51,Risky,Moderate danger or cost detected
2025,64.2,220.2,Fusion-B,7,9.62,0.51,1,0.81,4,1,yellow,75.4,0.591,Medium,1.554,7.77,7.77,240,292,right,True,0.81,52,left,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.586,Risky,Moderate danger or cost detected
1776,79.3,153.5,Plasma-A,7,6.82,0.14,3,0.71,2,3,red,89.2,0.683,Medium,2.178,10.89,10.89,270,222,left,True,0.71,48,right,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.533,Risky,Moderate danger or cost detected
1565,61.0,237.6,Ion-A,2,4.28,0.93,2,0.39,0,5,yellow,69.7,0.403,Medium,0.863,4.31,4.31,190,154,left,True,0.39,36,right,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.724,Good,Safe with minor inefficiencies
1505,67.2,148.4,Plasma-A,8,6.68,0.4,0,0.33,2,0,green,50.2,0.435,Medium,1.506,7.53,7.53,139,139,none,False,0.33,0,right,2,0,No threats detected,0.766,Good,Safe with minor inefficiencies
1925,55.5,180.3,Ion-A,6,8.66,0.97,0,0.6,1,3,yellow,13.5,0.614,Medium,1.201,6.01,6.01,13,13,none,False,0.6,0,right,1,3,No threats detected,0.706,Good,Safe with minor inefficiencies
1454,43.3,246.2,Fusion-B,8,9.25,0.38,2,0.66,1,3,green,59.6,0.511,Medium,2.286,11.43,11.43,191,145,left,True,0.66,46,left,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.602,Good,Safe with minor inefficiencies
1428,45.2,253.4,Fusion-B,1,1.76,0.6,5,0.64,5,2,green,29.6,0.459,Medium,2.015,10.08,10.08,70,116,right,True,0.64,46,left,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.634,Good,Safe with minor inefficiencies
1693,45.1,252.5,Fusion-B,2,9.52,1.0,5,0.91,3,3,red,8.4,0.758,High,3.002,15.01,15.01,2,306,left,True,0.91,56,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.452,Risky,Moderate danger or cost detected
1419,66.8,221.4,Fusion-B,3,1.16,0.38,1,0.95,4,5,red,30.8,0.811,High,1.363,6.81,6.81,270,212,left,True,0.95,58,right,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.492,Risky,Moderate danger or cost detected
1513,70.6,170.7,Fusion-B,3,10.0,0.24,2,0.3,0,0,green,70.9,0.244,Low,1.002,5.01,5.01,214,246,right,True,0.3,32,right,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.791,Good,Safe with minor inefficiencies
1868,60.3,226.4,Ion-A,1,7.65,0.57,3,0.66,4,4,green,78.9,0.284,Low,0.868,4.34,4.34,323,9,right,True,0.66,46,right,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.749,Good,Safe with minor inefficiencies
1988,64.7,235.6,Ion-A,2,2.39,0.26,2,0.69,3,0,red,56.2,0.521,Medium,1.067,5.33,5.33,180,228,right,True,0.69,48,left,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.642,Good,Safe with minor inefficiencies
1984,76.1,255.4,Fusion-B,2,1.39,0.43,5,0.72,5,0,red,87.3,0.702,Medium,1.738,8.69,8.69,184,233,right,True,0.72,49,left,5,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.541,Risky,Moderate danger or cost detected
1938,64.4,260.4,Plasma-A,8,8.05,0.31,4,0.24,4,0,yellow,86.9,0.569,Medium,1.932,9.66,9.66,240,270,right,True,0.24,30,left,4,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.628,Good,Safe with minor inefficiencies
2050,71.4,284.6,Fusion-B,5,2.75,0.71,2,0.57,5,0,yellow,39.7,0.617,Medium,1.647,8.23,8.23,34,77,right,True,0.57,43,,5,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.592,Risky,Moderate danger or cost detected
1646,70.8,264.5,Plasma-A,1,5.53,0.48,4,0.16,5,2,green,18.0,0.259,Low,1.42,7.1,7.1,22,48,right,True,0.16,26,,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.782,Good,Safe with minor inefficiencies
1959,64.2,279.7,Fusion-B,2,1.47,0.53,5,0.37,3,5,yellow,84.1,0.525,Medium,1.503,7.51,7.51,323,288,left,True,0.37,35,left,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.652,Good,Safe with minor inefficiencies
1538,68.5,222.5,Ion-A,7,2.12,0.18,0,0.16,2,1,green,40.4,0.423,Medium,0.836,4.18,4.18,102,102,none,False,0.16,0,left,2,1,No threats detected,0.797,Good,Safe with minor inefficiencies
1723,60.5,273.0,Fusion-B,8,1.83,0.92,3,0.82,4,3,yellow,79.6,0.85,High,1.709,8.54,8.54,18,71,right,True,0.82,53,left,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.474,Risky,Moderate danger or cost detected
1692,77.2,206.4,Fusion-B,0,4.57,0.44,5,0.39,2,2,green,7.3,0.292,Low,1.266,6.33,6.33,188,224,right,True,0.39,36,right,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.753,Good,Safe with minor inefficiencies
1809,49.0,191.0,Plasma-A,7,1.89,0.74,3,0.34,2,1,yellow,13.1,0.784,High,3.402,17.01,17.01,354,28,right,True,0.34,34,right,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.475,Risky,Moderate danger or cost detected
1776,41.5,286.8,Plasma-A,4,5.25,0.85,0,0.76,5,3,green,42.2,0.417,Medium,4.041,20.21,20.21,220,220,none,False,0.76,0,right,5,3,No threats detected,0.672,Good,Safe with minor inefficiencies
1584,64.6,284.9,Plasma-A,4,1.17,0.29,2,0.15,0,0,yellow,84.6,0.509,Medium,1.579,7.89,7.89,338,4,right,True,0.15,26,,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.675,Good,Safe with minor inefficiencies
1713,44.4,186.1,Fusion-B,6,3.71,0.14,1,0.42,5,3,yellow,71.5,0.47,Medium,2.528,12.64,12.64,228,265,right,True,0.42,37,left,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.629,Good,Safe with minor inefficiencies
2144,58.3,157.7,Fusion-B,6,9.15,0.64,2,0.02,5,0,green,46.4,0.372,Low,1.477,7.39,7.39,343,4,right,True,0.02,21,right,5,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.745,Good,Safe with minor inefficiencies
1772,49.7,163.0,Plasma-A,2,4.86,0.65,0,0.24,1,4,red,37.5,0.355,Low,2.149,10.75,10.75,224,224,none,False,0.24,0,left,1,4,No threats detected,0.772,Good,Safe with minor inefficiencies
1529,66.6,153.7,Ion-A,3,9.77,0.16,5,0.53,2,2,yellow,45.7,0.441,Medium,0.822,4.11,4.11,290,249,left,True,0.53,41,left,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.7,Good,Safe with minor inefficiencies
2019,79.5,228.7,Ion-A,7,4.51,0.52,2,0.64,2,3,green,88.3,0.479,Medium,1.34,6.7,6.7,293,247,left,True,0.64,46,left,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.653,Good,Safe with minor inefficiencies
1942,50.1,142.6,Fusion-B,6,8.1,0.41,2,0.73,5,2,green,56.5,0.457,Medium,2.134,10.67,10.67,58,107,right,True,0.73,49,left,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.623,Good,Safe with minor inefficiencies
2153,70.9,257.6,Ion-A,7,3.99,0.14,4,0.55,3,4,green,73.2,0.489,Medium,1.202,6.01,6.01,134,92,left,True,0.55,42,,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.663,Good,Safe with minor inefficiencies
2120,47.0,264.7,Fusion-B,3,5.18,0.73,4,0.63,2,5,yellow,73.0,0.507,Medium,2.714,13.57,13.57,102,57,left,True,0.63,45,left,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.589,Risky,Moderate danger or cost detected
1538,42.5,264.2,Ion-A,7,5.12,0.36,1,0.04,5,3,green,18.0,0.401,Medium,1.774,8.87,8.87,349,11,right,True,0.04,22,,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.72,Good,Safe with minor inefficiencies
2083,41.7,289.3,Fusion-B,1,5.64,0.99,4,0.54,4,2,yellow,22.8,0.475,Medium,3.602,18.01,18.01,80,122,right,True,0.54,42,left,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.573,Risky,Moderate danger or cost detected
1770,70.1,170.6,Plasma-A,3,4.21,0.8,0,0.87,1,1,green,29.9,0.411,Medium,1.817,9.08,9.08,252,252,none,False,0.87,0,left,1,1,No threats detected,0.763,Good,Safe with minor inefficiencies
1769,45.0,198.9,Plasma-A,5,9.01,0.77,3,0.89,4,1,red,34.8,0.788,High,4.101,20.5,20.5,44,100,right,True,0.89,56,left,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.396,Poor,Unsafe or inefficient trip path
1716,78.9,219.4,Fusion-B,7,5.48,0.93,4,0.52,3,3,red,72.1,0.831,High,2.004,10.02,10.02,37,356,left,True,0.52,41,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.496,Risky,Moderate danger or cost detected
1724,69.1,152.6,Plasma-A,1,6.42,0.84,3,0.55,3,5,red,28.9,0.499,Medium,1.75,8.75,8.75,176,134,left,True,0.55,42,left,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.637,Good,Safe with minor inefficiencies
2198,43.2,245.7,Plasma-A,2,3.76,0.64,1,0.43,3,4,green,62.1,0.289,Low,3.766,18.83,18.83,63,26,left,True,0.43,37,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.652,Good,Safe with minor inefficiencies
1556,54.1,146.8,Fusion-B,2,8.83,0.42,1,1.0,2,5,green,24.7,0.349,Low,1.211,6.06,6.06,177,117,left,True,1.0,60,right,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.679,Good,Safe with minor inefficiencies
1690,79.2,291.7,Ion-A,4,1.68,0.67,1,0.36,5,4,yellow,72.1,0.52,Medium,1.113,5.56,5.56,64,98,right,True,0.36,34,,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.672,Good,Safe with minor inefficiencies
2029,67.2,292.4,Plasma-A,1,2.29,0.65,4,0.78,5,1,red,3.1,0.688,Medium,2.031,10.16,10.16,297,348,right,True,0.78,51,left,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.53,Risky,Moderate danger or cost detected
1575,42.7,264.6,Plasma-A,5,4.3,0.44,4,0.57,0,0,green,54.5,0.465,Medium,3.335,16.68,16.68,23,66,right,True,0.57,43,right,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.585,Risky,Moderate danger or cost detected
1671,67.2,291.8,Plasma-A,3,4.35,0.79,4,0.57,3,4,red,47.7,0.649,Medium,1.672,8.36,8.36,15,332,left,True,0.57,43,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.578,Risky,Moderate danger or cost detected
2042,55.9,243.9,Plasma-A,4,3.25,0.2,5,0.74,2,3,green,44.9,0.476,Medium,2.337,11.69,11.69,350,300,left,True,0.74,50,right,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.605,Good,Safe with minor inefficiencies
1704,55.5,229.9,Fusion-B,1,3.36,0.33,5,0.45,0,1,yellow,89.7,0.369,Low,1.265,6.32,6.32,212,174,left,True,0.45,38,right,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.717,Good,Safe with minor inefficiencies
1875,51.4,286.6,Ion-A,5,5.42,0.21,4,0.85,1,2,red,40.7,0.733,Medium,1.362,6.81,6.81,163,109,left,True,0.85,54,,1,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.532,Risky,Moderate danger or cost detected
1808,75.9,211.2,Ion-A,5,1.79,0.71,4,0.85,4,0,yellow,28.8,0.803,High,1.38,6.9,6.9,123,177,right,True,0.85,54,right,4,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.504,Risky,Moderate danger or cost detected
1525,53.9,150.4,Fusion-B,7,5.88,0.9,1,0.85,1,0,green,64.1,0.546,Medium,1.434,7.17,7.17,148,202,right,True,0.85,54,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.604,Good,Safe with minor inefficiencies
2030,77.1,242.0,Fusion-B,3,8.14,0.56,1,0.12,2,4,red,18.1,0.389,Low,1.515,7.57,7.57,160,135,left,True,0.12,25,left,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.728,Good,Safe with minor inefficiencies
2181,45.6,266.5,Ion-A,7,1.24,0.6,4,0.37,3,3,yellow,72.3,0.782,High,2.634,13.17,13.17,254,219,left,True,0.37,35,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.504,Risky,Moderate danger or cost detected
1492,62.1,237.9,Fusion-B,8,1.78,0.38,3,1.0,1,1,red,64.7,1.0,High,1.451,7.26,7.26,180,120,left,True,1.0,60,left,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.409,Risky,Moderate danger or cost detected
1451,61.0,263.1,Fusion-B,7,8.41,0.17,4,0.97,5,5,yellow,57.8,0.685,Medium,1.143,5.71,5.71,146,205,right,True,0.97,59,right,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.549,Risky,Moderate danger or cost detected
1408,58.0,248.8,Ion-A,6,4.1,0.89,1,0.78,2,5,yellow,57.6,0.65,Medium,0.821,4.1,4.1,206,155,left,True,0.78,51,,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.594,Risky,Moderate danger or cost detected
1446,47.3,294.6,Fusion-B,0,4.89,0.92,4,0.06,4,1,yellow,11.2,0.326,Low,1.519,7.59,7.59,283,305,right,True,0.06,22,,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.76,Good,Safe with minor inefficiencies
1475,46.1,166.3,Fusion-B,8,3.9,0.74,3,0.35,4,2,red,84.7,0.786,High,2.476,12.38,12.38,348,22,right,True,0.35,34,right,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.511,Risky,Moderate danger or cost detected
1521,75.8,275.3,Ion-A,1,3.26,0.67,3,0.55,2,2,red,11.3,0.539,Medium,0.927,4.63,4.63,187,145,left,True,0.55,42,left,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.654,Good,Safe with minor inefficiencies
1603,52.1,225.4,Plasma-A,8,5.52,0.25,3,0.94,4,0,green,13.9,0.634,Medium,2.1,10.5,10.5,19,77,right,True,0.94,58,left,4,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.534,Risky,Moderate danger or cost detected
2130,66.3,255.3,Fusion-B,7,6.45,0.86,4,0.56,3,1,red,74.3,0.817,High,2.042,10.21,10.21,263,305,right,True,0.56,42,left,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.498,Risky,Moderate danger or cost detected
1735,41.1,147.3,Plasma-A,5,6.77,0.62,1,0.65,3,4,red,69.0,0.603,Medium,4.046,20.23,20.23,153,107,left,True,0.65,46,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.495,Risky,Moderate danger or cost detected
1744,56.7,242.2,Plasma-A,8,5.48,0.66,4,0.29,3,5,red,86.1,0.766,High,2.438,12.19,12.19,153,121,left,True,0.29,32,right,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.525,Risky,Moderate danger or cost detected
1417,59.3,268.8,Fusion-B,5,7.16,0.37,5,0.07,0,3,red,5.4,0.624,Medium,1.148,5.74,5.74,157,134,left,True,0.07,23,left,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.653,Good,Safe with minor inefficiencies
2011,57.6,217.5,Fusion-B,4,2.84,0.65,5,0.31,4,4,green,64.7,0.446,Medium,1.69,8.45,8.45,26,58,right,True,0.31,32,right,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.683,Good,Safe with minor inefficiencies
1891,69.4,277.7,Ion-A,8,9.78,0.22,5,0.37,5,4,yellow,50.5,0.65,Medium,1.037,5.18,5.18,75,110,right,True,0.37,35,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.621,Good,Safe with minor inefficiencies
1432,52.8,214.6,Plasma-A,1,3.41,0.32,1,0.1,0,3,yellow,26.1,0.229,Low,1.52,7.6,7.6,214,190,left,True,0.1,24,left,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.794,Good,Safe with minor inefficiencies
1822,55.4,238.5,Plasma-A,3,3.23,0.88,3,0.16,4,4,yellow,29.5,0.481,Medium,2.117,10.59,10.59,31,5,left,True,0.16,26,left,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.665,Good,Safe with minor inefficiencies
1931,63.1,190.0,Ion-A,8,7.87,0.55,2,0.51,5,3,red,44.9,0.787,High,1.304,6.52,6.52,192,232,right,True,0.51,40,,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.544,Risky,Moderate danger or cost detected
1577,52.3,143.7,Fusion-B,8,9.51,0.55,2,0.97,4,2,red,19.4,0.94,High,1.97,9.85,9.85,348,47,right,True,0.97,59,,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.414,Risky,Moderate danger or cost detected
2024,54.1,148.1,Fusion-B,3,5.45,0.89,1,0.65,2,4,yellow,42.4,0.481,Medium,1.89,9.45,9.45,115,69,left,True,0.65,46,,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.63,Good,Safe with minor inefficiencies
2189,61.5,275.5,Fusion-B,3,4.88,0.89,5,0.73,5,3,yellow,68.7,0.582,Medium,1.714,8.57,8.57,245,294,right,True,0.73,49,,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.59,Risky,Moderate danger or cost detected
1973,54.6,204.1,Plasma-A,4,6.13,0.28,2,0.55,0,4,red,6.6,0.575,Medium,2.353,11.77,11.77,278,236,left,True,0.55,42,right,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.583,Risky,Moderate danger or cost detected
1804,60.2,262.3,Fusion-B,2,3.52,0.99,2,0.68,0,2,red,10.7,0.649,Medium,1.438,7.19,7.19,40,353,left,True,0.68,47,,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.578,Risky,Moderate danger or cost detected
1852,79.0,203.0,Plasma-A,4,8.15,0.41,5,0.94,3,1,green,67.9,0.468,Medium,2.255,11.27,11.27,275,333,right,True,0.94,58,,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.594,Risky,Moderate danger or cost detected
1975,48.0,221.5,Plasma-A,4,5.5,0.14,1,0.14,0,4,red,30.0,0.393,Low,2.602,13.01,13.01,300,274,left,True,0.14,26,left,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.681,Good,Safe with minor inefficiencies
1648,58.9,213.1,Ion-A,8,6.46,0.56,1,0.33,5,1,green,55.2,0.47,Medium,0.942,4.71,4.71,51,84,right,True,0.33,33,right,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.701,Good,Safe with minor inefficiencies
1738,46.5,298.5,Plasma-A,7,7.65,0.37,0,0.34,5,1,green,74.5,0.372,Low,2.475,12.38,12.38,281,281,none,False,0.34,0,left,5,1,No threats detected,0.752,Good,Safe with minor inefficiencies
1816,61.3,253.4,Plasma-A,7,3.7,0.83,3,0.37,5,1,yellow,60.6,0.663,Medium,1.853,9.27,9.27,164,199,right,True,0.37,35,,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.583,Risky,Moderate danger or cost detected
2061,79.2,233.4,Ion-A,1,8.17,0.75,5,0.69,4,1,red,2.4,0.606,Medium,1.358,6.79,6.79,19,67,right,True,0.69,48,left,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.597,Risky,Moderate danger or cost detected
1827,59.0,294.7,Ion-A,0,8.05,0.8,3,0.58,3,1,red,64.9,0.399,Low,0.868,4.34,4.34,148,191,right,True,0.58,43,left,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.71,Good,Safe with minor inefficiencies
1409,63.3,167.3,Fusion-B,1,6.66,0.66,2,0.84,2,3,red,13.3,0.521,Medium,1.086,5.43,5.43,278,224,left,True,0.84,54,right,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.628,Good,Safe with minor inefficiencies
1905,67.2,145.1,Ion-A,8,9.53,0.2,3,0.02,2,1,green,28.2,0.437,Medium,1.027,5.13,5.13,169,190,right,True,0.02,21,left,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.737,Good,Safe with minor inefficiencies
2148,46.1,250.5,Fusion-B,4,4.69,0.8,5,0.92,1,0,red,78.6,0.77,High,3.606,18.03,18.03,172,229,right,True,0.92,57,,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.421,Risky,Moderate danger or cost detected
1981,69.4,150.0,Plasma-A,3,2.24,0.29,1,0.33,4,5,yellow,59.6,0.391,Low,1.681,8.41,8.41,218,185,left,True,0.33,33,right,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.703,Good,Safe with minor inefficiencies
1735,61.0,190.2,Ion-A,6,2.56,0.92,5,0.34,0,1,green,31.9,0.6,Medium,0.957,4.79,4.79,244,210,left,True,0.34,34,,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.646,Good,Safe with minor inefficiencies
1654,70.9,255.3,Ion-A,4,6.79,0.72,3,0.61,1,3,yellow,17.3,0.571,Medium,0.924,4.62,4.62,168,124,left,True,0.61,44,,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.637,Good,Safe with minor inefficiencies
1996,49.9,229.3,Plasma-A,0,3.02,0.98,2,0.3,5,2,red,26.0,0.427,Medium,2.878,14.39,14.39,120,152,right,True,0.3,32,left,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.643,Good,Safe with minor inefficiencies
2083,48.3,252.8,Ion-A,7,3.85,0.41,2,0.93,1,3,red,71.6,0.808,High,2.183,10.91,10.91,257,200,left,True,0.93,57,,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.463,Risky,Moderate danger or cost detected
2106,50.9,159.5,Ion-A,4,7.09,0.44,2,0.98,4,1,green,73.7,0.414,Medium,1.563,7.81,7.81,68,127,right,True,0.98,59,right,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.641,Good,Safe with minor inefficiencies
1556,78.2,268.7,Fusion-B,5,3.61,0.36,3,0.71,5,4,yellow,31.2,0.612,Medium,1.43,7.15,7.15,275,323,right,True,0.71,48,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.591,Risky,Moderate danger or cost detected
2180,57.7,181.0,Ion-A,1,5.31,0.28,4,0.54,3,4,red,84.0,0.398,Low,1.066,5.33,5.33,185,143,left,True,0.54,42,left,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.705,Good,Safe with minor inefficiencies
1977,67.8,162.0,Ion-A,0,6.54,0.63,4,0.24,4,1,red,60.3,0.335,Low,0.891,4.46,4.46,274,304,right,True,0.24,30,left,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.764,Good,Safe with minor inefficiencies
1568,61.2,242.1,Fusion-B,8,1.47,0.47,3,0.72,0,5,green,9.0,0.745,Medium,1.232,6.16,6.16,298,249,left,True,0.72,49,right,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.544,Risky,Moderate danger or cost detected
1493,70.8,140.8,Plasma-A,7,5.95,0.94,0,0.41,3,1,red,84.2,0.66,Medium,1.546,7.73,7.73,212,212,none,False,0.41,0,right,3,1,No threats detected,0.674,Good,Safe with minor inefficiencies
1977,75.1,216.4,Ion-A,8,2.8,0.97,3,0.32,5,2,red,58.1,0.894,High,1.484,7.42,7.42,11,44,right,True,0.32,33,right,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.51,Risky,Moderate danger or cost detected
1660,76.3,154.3,Ion-A,3,6.17,0.58,4,0.72,0,0,yellow,84.3,0.485,Medium,1.022,5.11,5.11,176,127,left,True,0.72,49,left,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.656,Good,Safe with minor inefficiencies
1954,76.5,168.0,Ion-A,1,8.94,0.26,3,0.92,0,2,yellow,89.7,0.352,Low,1.007,5.03,5.03,92,35,left,True,0.92,57,left,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.692,Good,Safe with minor inefficiencies
2184,55.9,219.3,Plasma-A,6,9.43,0.97,2,0.93,3,3,yellow,78.9,0.65,Medium,2.499,12.5,12.5,192,135,left,True,0.93,57,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.513,Risky,Moderate danger or cost detected
2099,40.4,230.9,Plasma-A,8,1.97,0.98,1,0.28,5,2,green,89.0,0.543,Medium,5.11,25.55,25.55,91,122,right,True,0.28,31,right,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.51,Risky,Moderate danger or cost detected
1802,61.7,219.0,Plasma-A,2,9.45,0.87,5,0.47,1,0,green,17.4,0.405,Medium,1.83,9.15,9.15,152,191,right,True,0.47,39,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.678,Good,Safe with minor inefficiencies
