car_type,earth_weight_kg,space_weight_kg,thrust_kN,power_capacity_kWh,engine_class
Sedan,1403,2111,52.7,180.1,Fusion-B
Transport,2436,3651,97.7,250.4,Plasma-A
Micro,1069,1609,25.8,108.8,Ion-A
Coupe,1292,1930,37.7,103.8,Ion-B
Sedan,1411,2126,42.9,178.6,Fusion-B
Coupe,1295,1952,32.1,142.7,Ion-B
Transport,2323,3487,97.7,359.5,Plasma-A
SUV,1874,2804,77.6,224.9,Fusion-C
Sedan,1434,2160,50.4,156.6,Fusion-B
SUV,1808,2706,67.0,232.3,Fusion-C
Sedan,1451,2178,49.4,168.5,Fusion-B
Sedan,1443,2170,50.1,185.6,Fusion-B
Micro,929,1397,27.4,110.2,Ion-A
Transport,2269,3394,116.7,260.5,Plasma-A
Coupe,1274,1904,36.0,103.3,Ion-B
Micro,939,1400,33.1,109.0,Ion-A
Micro,921,1388,23.0,104.4,Ion-A
SUV,2157,3226,69.3,213.9,Fusion-C
Micro,1086,1626,26.2,111.8,Ion-A
Sedan,1439,2162,49.3,182.5280644481887,Fusion-B
Sedan,1558,2333,60.3,176.4,Fusion-B
Sedan,1578,2371,57.1,165.4,Fusion-B
Coupe,1331,1987,36.6,137.4,Ion-B
Coupe,1244,1870,37.6,109.1,Ion-B
Micro,1050,1572,23.5,90.5,Ion-A
Micro,1000,1492,33.9,114.6,Ion-A
SUV,2028,3043,73.8,202.2,Fusion-C
Micro,909,1357,26.3,93.1,Ion-A
Sedan,1437,2164,39.6,194.9,Fusion-B
Coupe,1311,1964,37.6,104.7,Ion-B
Sedan,1588,2380,48.8,185.7,Fusion-B
Micro,940,1415,34.6,125.1,Ion-A
SUV,1815,2731,62.2,186.7,Fusion-C
Coupe,1376,2061,40.6,120.0,Ion-B
Coupe,1217,1821,32.3,147.8,Ion-B
SUV,2139,3203,78.4,255.4,Fusion-C
Coupe,1311,1976,38.2,112.1,Ion-B
SUV,2038,3056,76.8,207.0,Fusion-C
Coupe,1263,1894,42.2,121.5,Ion-B
SUV,2155,3241,66.3,218.5,Fusion-C
Sedan,1530,2286,44.8,164.8,Fusion-B
SUV,1872,2813,63.6,237.8,Fusion-C
Sedan,1413,2113,40.7,156.1,Fusion-B
SUV,2132,3200,66.7,187.4,Fusion-C
SUV,1836,2750,62.9,237.9,Fusion-C
Sedan,1415,2122,56.0,152.9,Fusion-B
Micro,984,1476,31.2,95.1,Ion-A
Transport,2691,4046,119.1,296.2,Plasma-A
Transport,2746,4111,88.7,332.5,Plasma-A
Micro,923,1378,33.2,113.5,Ion-A
Micro,945,1409,23.2,106.2,Ion-A
Transport,2554,3823,91.6,260.8,Plasma-A
Sedan,1467,2202,52.2,151.2,Fusion-B
Transport,2342,3505,76.5,343.4,Plasma-A
Micro,1092,1636,30.2,84.3,Ion-A
Coupe,1320,1977,41.1,109.0,Ion-B
SUV,1818,2719,65.7,235.4,Fusion-C
Transport,2612,3925,89.8,290.3,Plasma-A
SUV,1860,2791,69.2,260.0,Fusion-C
Micro,1058,1588,23.3,109.5,Ion-A
SUV,1865,2802,59.1,215.7,Fusion-C
Coupe,1270,1907,35.8,140.4,Ion-B
Micro,956,1431,25.0,97.1,Ion-A
Coupe,1367,2049,34.6,151.4,Ion-B
Transport,2733,4109,104.8,311.8,Plasma-A
SUV,1846,2759,72.3,238.8,Fusion-C
Coupe,1351,2033,31.5,182.5280644481887,Ion-B
Coupe,1303,1952,37.6,152.9,Ion-B
Micro,1027,1538,29.4,106.9,Ion-A
Sedan,1503,2264,55.6,171.6,Fusion-B
SUV,2022,3027,68.8,224.9,Fusion-C
Coupe,1315,1979,33.8,157.2,Ion-B
Transport,2389,3577,88.1,312.0,Plasma-A
Sedan,1468,2208,54.1,167.4,Fusion-B
Coupe,1363,2046,37.6,111.1,Ion-B
Coupe,1384,2070,29.6,122.3,Ion-B
Sedan,1533,2296,54.5,135.6,Fusion-B
Sedan,1586,2369,50.1,194.1,Fusion-B
SUV,2078,3112,67.0,230.8,Fusion-C
Coupe,1395,2092,37.6,142.4,Ion-B
Coupe,1226,1845,43.6,136.9,Ion-B
Sedan,1518,2280,52.5,193.2,Fusion-B
Sedan,1415,2125,50.1,166.6,Fusion-B
Micro,1031,1548,20.5,116.9,Ion-A
SUV,2093,3142,67.8,201.5,Fusion-C
Transport,2387,3573,76.3,354.3,Plasma-A
Coupe,1278,1924,40.6,124.3,Ion-B
Coupe,1351,2026,34.4,134.4,Ion-B
Transport,2723,4092,93.9,182.5280644481887,Plasma-A
Micro,1012,1525,26.8,110.2,Ion-A
SUV,1844,2769,67.0,219.8,Fusion-C
SUV,2195,3284,54.9,215.2,Fusion-C
Sedan,1570,2346,50.1,146.8,Fusion-B
Micro,1049,1568,26.8,95.2,Ion-A
SUV,2003,3009,72.4,202.8,Fusion-C
SUV,1850,2778,61.8,236.0,Fusion-C
Micro,1001,1503,28.9,95.1,Ion-A
Coupe,1213,1811,33.6,118.7,Ion-B
Sedan,1495,2247,50.1,183.8,Fusion-B
Sedan,1490,2232,51.8,145.3,Fusion-B
Coupe,1398,2098,41.3,131.0,Ion-B
Sedan,1595,2383,40.2,160.7,Fusion-B
Transport,2316,3464,106.1,273.7,Plasma-A
Sedan,1457,2188,52.3,148.2,Fusion-B
SUV,1992,2994,60.6,205.6,Fusion-C
Sedan,1537,2304,44.2,182.5280644481887,Fusion-B
Sedan,1512,2275,52.7,142.4,Fusion-B
Sedan,1510,2256,61.8,141.7,Fusion-B
Coupe,1369,2049,37.6,107.5,Ion-B
Sedan,1547,2319,59.7,135.0,Fusion-B
Coupe,1243,1861,32.4,139.9,Ion-B
Coupe,1274,1918,42.8,103.7,Ion-B
Micro,905,1359,34.0,97.9,Ion-A
SUV,2082,3123,65.3,222.5,Fusion-C
Sedan,1454,2183,48.2,163.9,Fusion-B
Micro,1007,1512,27.3,92.2,Ion-A
Coupe,1271,1910,37.5,147.4,Ion-B
Micro,948,1426,27.4,90.2,Ion-A
SUV,2117,3178,64.4,226.4,Fusion-C
Coupe,1267,1897,33.2,115.4,Ion-B
Sedan,1593,2387,56.6,155.0,Fusion-B
Transport,2421,3641,88.4,267.2,Plasma-A
Coupe,1220,1826,41.1,119.5,Ion-B
Transport,2205,3302,91.9,261.0,Plasma-A
Transport,2224,3344,82.7,337.7,Plasma-A
Micro,1069,1602,29.2,96.5,Ion-A
Transport,2528,3795,95.7,182.5280644481887,Plasma-A
Micro,903,1361,27.1,90.2,Ion-A
SUV,2199,3305,64.7,193.2,Fusion-C
SUV,2119,3185,68.7,236.1,Fusion-C
Coupe,1391,2085,40.3,124.7,Ion-B
Transport,2333,3508,103.9,271.1,Plasma-A
Micro,1089,1634,34.4,85.3,Ion-A
Micro,1077,1608,25.1,110.5,Ion-A
Sedan,1431,2147,51.3,168.5,Fusion-B
Transport,2453,3678,100.5,340.5,Plasma-A
Coupe,1281,1921,32.5,110.7,Ion-B
Micro,1095,1650,19.0,95.2,Ion-A
SUV,1829,2753,71.7,182.5,Fusion-C
Transport,2649,3964,117.7,182.5280644481887,Plasma-A
SUV,2074,3110,76.7,185.2,Fusion-C
SUV,1818,2727,70.5,243.0,Fusion-C
SUV,2101,3155,62.0,211.0,Fusion-C
Micro,1015,1516,26.4,103.5,Ion-A
Transport,2487,3725,79.9,285.0,Plasma-A
Sedan,1498,2256,50.1,141.5,Fusion-B
Micro,1003,1508,22.0,118.6,Ion-A
Sedan,1579,2373,57.0,184.0,Fusion-B
Transport,2425,3645,76.8,301.9,Plasma-A
SUV,2005,3006,68.0,244.6,Fusion-C
Coupe,1288,1935,37.7,108.3,Ion-B
SUV,1987,2975,67.0,184.5,Fusion-C
Coupe,1368,2050,34.2,132.0,Ion-B
Sedan,1584,2376,46.2,172.3,Fusion-B
Transport,2359,3545,107.9,254.7,Plasma-A
Transport,2293,3436,88.4,348.5,Plasma-A
Sedan,1462,2188,48.0,193.6,Fusion-B
Transport,2646,3963,105.3,182.5280644481887,Plasma-A
Micro,1036,1552,30.2,110.3,Ion-A
Coupe,1256,1887,40.6,130.3,Ion-B
SUV,1804,2715,65.5,191.0,Fusion-C
Transport,2696,4037,87.7,341.4,Plasma-A
Micro,912,1367,27.4,85.4,Ion-A
Micro,942,1418,27.4,88.7,Ion-A
Coupe,1279,1921,38.8,127.9,Ion-B
Coupe,1238,1866,37.6,94.9,Ion-B
Transport,2604,3906,80.0,306.8,Plasma-A
Coupe,1384,2086,44.8,148.8,Ion-B
Transport,2539,3815,92.9,316.2,Plasma-A
Coupe,1254,1882,30.4,153.9,Ion-B
Transport,2298,3444,95.9,298.0,Plasma-A
Transport,2585,3886,86.1,328.5,Plasma-A
Transport,2532,3799,97.7,302.5,Plasma-A
Sedan,1590,2387,55.9,182.5280644481887,Fusion-B
Coupe,1238,1867,41.5,129.5,Ion-B
Micro,1008,1517,32.5,100.4,Ion-A
Coupe,1289,1927,34.1,182.5280644481887,Ion-B
Micro,916,1374,28.9,88.0,Ion-A
SUV,1968,2959,66.5,202.1,Fusion-C
SUV,1899,2850,58.8,254.9,Fusion-C
SUV,2181,3276,55.4,230.2,Fusion-C
Micro,997,1504,21.3,88.6,Ion-A
SUV,2059,3086,56.9,190.4,Fusion-C
SUV,2027,3036,59.6,221.3,Fusion-C
Sedan,1517,2283,50.1,165.4,Fusion-B
Micro,975,1461,31.8,97.5,Ion-A
Micro,1073,1612,31.8,77.5,Ion-A
Transport,2410,3619,80.1,254.9,Plasma-A
Micro,935,1403,27.4,102.0,Ion-A
Transport,2698,4050,104.4,323.7,Plasma-A
Transport,2696,4049,106.1,339.8,Plasma-A
Sedan,1542,2316,54.6,194.1,Fusion-B
Micro,1049,1573,23.6,80.6,Ion-A
Micro,1058,1590,21.2,100.0,Ion-A
SUV,1872,2799,60.6,253.1,Fusion-C
Coupe,1390,2082,36.2,129.6,Ion-B
Micro,1010,1508,26.2,76.9,Ion-A
Sedan,1430,2152,50.1,139.7,Fusion-B
Transport,2323,3488,105.1,182.5280644481887,Plasma-A
Transport,2480,3715,112.7,297.4,Plasma-A
Micro,1088,1628,26.5,102.3,Ion-A
Transport,2245,3373,110.5,275.8,Plasma-A
Transport,2347,3529,104.8,361.0,Plasma-A
Sedan,1588,2375,56.3,199.7,Fusion-B
Transport,2635,3955,97.7,290.7,Plasma-A
SUV,2194,3295,67.2,224.7,Fusion-C
Sedan,1557,2331,54.4,197.5,Fusion-B
SUV,1963,2948,58.5,251.4,Fusion-C
SUV,1905,2860,69.2,179.0,Fusion-C
Coupe,1368,2057,41.6,120.1,Ion-B
Coupe,1218,1827,37.6,96.6,Ion-B
Coupe,1358,2042,35.8,120.0,Ion-B
Sedan,1417,2134,58.9,147.7,Fusion-B
SUV,2167,3255,72.5,216.5,Fusion-C
Sedan,1442,2164,50.1,152.0,Fusion-B
SUV,1947,2914,65.6,190.4,Fusion-C
Transport,2379,3563,100.1,366.9,Plasma-A
SUV,1901,2860,73.8,204.4,Fusion-C
Transport,2351,3518,79.3,314.6,Plasma-A
SUV,1873,2813,65.5,185.4,Fusion-C
Sedan,1500,2249,53.9,182.5280644481887,Fusion-B
SUV,2076,3108,67.0,182.5280644481887,Fusion-C
Micro,1025,1533,32.2,112.6,Ion-A
Sedan,1428,2142,52.9,138.6,Fusion-B
Sedan,1483,2227,42.2,175.0,Fusion-B
Transport,2436,3644,82.4,324.7,Plasma-A
Micro,1018,1537,24.8,113.4,Ion-A
SUV,1959,2947,64.1,250.0,Fusion-C
Coupe,1374,2054,37.6,116.8,Ion-B
Micro,931,1392,27.8,116.0,Ion-A
Sedan,1586,2382,55.6,148.9,Fusion-B
SUV,2106,3157,63.5,228.8,Fusion-C
SUV,2060,3082,78.4,245.4,Fusion-C
Micro,944,1421,32.8,89.1,Ion-A
SUV,2016,3023,69.9,259.5,Fusion-C
Transport,2742,4119,75.4,328.0,Plasma-A
Transport,2455,3677,97.7,182.5280644481887,Plasma-A
Coupe,1359,2036,39.3,131.3,Ion-B
Sedan,1440,2160,52.5,153.1,Fusion-B
Transport,2418,3635,89.0,260.1,Plasma-A
SUV,1944,2921,74.4,201.6,Fusion-C
Transport,2433,3640,103.2,349.4,Plasma-A
Micro,1089,1624,32.5,106.7,Ion-A
Sedan,1479,2215,52.3,183.2,Fusion-B
Transport,2460,3688,97.7,266.5,Plasma-A
Coupe,1295,1940,34.7,144.2,Ion-B
Coupe,1378,2070,37.7,158.8,Ion-B
SUV,1884,2835,64.7,258.2,Fusion-C
Coupe,1316,1967,35.3,121.1,Ion-B
Sedan,1426,2137,42.5,145.5,Fusion-B
Transport,2198,3304,83.8,314.1,Plasma-A
Micro,1096,1640,33.9,91.2,Ion-A
Coupe,1249,1883,33.1,138.6,Ion-B
Micro,1095,1643,27.0,99.4,Ion-A
Coupe,1223,1828,42.3,107.3,Ion-B
Micro,1044,1558,30.9,80.6,Ion-A
Sedan,1498,2246,39.0,181.2,Fusion-B
SUV,1916,2872,59.0,241.9,Fusion-C
Sedan,1554,2336,41.4,187.7,Fusion-B
SUV,1907,2854,81.0,231.9,Fusion-C
SUV,1894,2836,68.0,234.8,Fusion-C
Micro,1062,1601,29.0,84.5,Ion-A
Sedan,1498,2254,52.8,144.0,Fusion-B
Sedan,1559,2344,58.4,154.5,Fusion-B
SUV,2085,3127,70.7,219.9,Fusion-C
Coupe,1389,2085,34.9,104.6,Ion-B
Micro,1018,1527,30.8,78.5,Ion-A
Micro,925,1388,33.2,80.5,Ion-A
Transport,2776,4157,96.5,281.4,Plasma-A
SUV,1903,2846,71.5,237.8,Fusion-C
SUV,1907,2868,69.9,229.5,Fusion-C
Transport,2310,3460,89.5,297.3,Plasma-A
SUV,2057,3077,61.5,244.5,Fusion-C
Micro,994,1485,27.4,86.7,Ion-A
Coupe,1366,2041,40.0,142.2,Ion-B
Sedan,1512,2276,50.4,193.0,Fusion-B
Sedan,1489,2224,60.7,176.1,Fusion-B
Transport,2335,3497,88.6,282.0,Plasma-A
Transport,2239,3354,76.7,323.6,Plasma-A
SUV,2025,3041,64.7,204.2,Fusion-C
Transport,2349,3533,97.7,294.3,Plasma-A
Sedan,1583,2376,46.5,182.5280644481887,Fusion-B
SUV,1833,2743,67.0,244.2,Fusion-C
Micro,967,1442,25.2,99.1,Ion-A
SUV,2002,3001,57.0,194.3,Fusion-C
Sedan,1507,2258,58.3,193.9,Fusion-B
Micro,1027,1547,33.3,99.7,Ion-A
Sedan,1525,2294,49.9,185.5,Fusion-B
SUV,1978,2967,77.6,211.8,Fusion-C
Micro,1077,1625,27.4,182.5280644481887,Ion-A
Micro,1022,1543,23.9,79.4,Ion-A
Sedan,1406,2117,59.5,177.1,Fusion-B
Micro,1075,1621,25.9,79.4,Ion-A
Transport,2515,3765,101.2,349.2,Plasma-A
Transport,2437,3661,78.9,252.5,Plasma-A
Micro,1007,1515,30.1,96.6,Ion-A
Micro,1076,1606,19.6,113.4,Ion-A
Coupe,1332,1992,44.3,144.3,Ion-B
Transport,2399,3591,107.3,268.7,Plasma-A
Micro,971,1447,27.4,77.8,Ion-A
Sedan,1584,2372,60.3,151.8,Fusion-B
SUV,2031,3037,74.1,176.8,Fusion-C
Transport,2429,3639,105.0,345.4,Plasma-A
Transport,2696,4048,80.4,253.7,Plasma-A
Micro,1012,1513,33.0,80.3,Ion-A
Coupe,1277,1906,34.8,114.1,Ion-B
Transport,2517,3772,120.6,265.7,Plasma-A
Micro,1090,1638,30.5,78.6,Ion-A
SUV,2094,3137,56.2,198.1,Fusion-C
Micro,967,1445,26.4,111.8,Ion-A
Micro,1001,1508,24.7,74.3,Ion-A
Transport,2457,3676,97.7,355.3,Plasma-A
SUV,1834,2761,62.5,235.5,Fusion-C
Micro,932,1388,21.5,82.0,Ion-A
Sedan,1590,2385,57.8,182.5280644481887,Fusion-B
Coupe,1283,1926,33.5,137.7,Ion-B
Sedan,1428,2143,53.6,187.0,Fusion-B
Micro,1047,1577,29.7,182.5280644481887,Ion-A
Micro,1060,1580,27.4,89.3,Ion-A
Coupe,1286,1931,42.8,97.6,Ion-B
SUV,1897,2847,76.7,249.4,Fusion-C
Coupe,1336,2009,45.5,131.9,Ion-B
Micro,921,1387,19.2,93.5,Ion-A
Micro,1052,1571,29.3,107.0,Ion-A
Sedan,1568,2347,49.4,174.4,Fusion-B
Transport,2515,3765,96.8,341.9,Plasma-A
Coupe,1211,1807,32.2,127.6,Ion-B
Micro,1081,1617,32.5,77.1,Ion-A
Micro,932,1391,24.0,72.0,Ion-A
Micro,944,1415,29.3,93.0,Ion-A
Coupe,1331,1997,37.6,148.6,Ion-B
Micro,1015,1525,29.7,108.1,Ion-A
Coupe,1326,1992,42.0,103.9,Ion-B
Transport,2403,3601,109.9,289.8,Plasma-A
SUV,2046,3078,77.9,209.5,Fusion-C
Transport,2266,3389,75.2,250.1,Plasma-A
SUV,1886,2835,64.4,192.1,Fusion-C
SUV,2136,3208,62.3,227.3,Fusion-C
Sedan,1524,2286,48.5,178.9,Fusion-B
Micro,922,1377,32.3,99.9,Ion-A
Micro,946,1423,35.3,119.2,Ion-A
Sedan,1490,2240,50.1,159.5,Fusion-B
Coupe,1293,1930,33.5,107.1,Ion-B
Sedan,1493,2245,39.9,149.5,Fusion-B
Micro,957,1439,32.5,114.4,Ion-A
Micro,1014,1513,26.2,115.5,Ion-A
SUV,2027,3049,70.9,239.6,Fusion-C
Transport,2435,3651,117.9,299.7,Plasma-A
Sedan,1580,2375,40.0,140.1,Fusion-B
Sedan,1507,2258,50.3,176.6,Fusion-B
Transport,2583,3874,103.6,316.4,Plasma-A
Transport,2226,3333,77.5,288.2,Plasma-A
Sedan,1414,2119,51.0,170.4,Fusion-B
SUV,1822,2742,67.0,258.5,Fusion-C
Sedan,1429,2149,54.9,170.4,Fusion-B
Coupe,1217,1818,37.3,105.2,Ion-B
SUV,1875,2822,71.4,249.1,Fusion-C
Micro,1099,1640,33.0,100.7,Ion-A
Coupe,1304,1959,32.2,145.9,Ion-B
Sedan,1545,2322,51.1,185.2,Fusion-B
Sedan,1531,2299,54.3,184.0,Fusion-B
SUV,1860,2794,71.2,227.8,Fusion-C
Coupe,1273,1904,39.6,118.6,Ion-B
Sedan,1406,2107,49.2,138.1,Fusion-B
Transport,2462,3686,110.7,348.8,Plasma-A
Transport,2651,3976,103.0,293.8,Plasma-A
Sedan,1438,2147,51.1,158.4,Fusion-B
Transport,2257,3384,102.6,241.9,Plasma-A
Sedan,1594,2394,48.3,194.9,Fusion-B
Transport,2728,4086,80.5,324.1,Plasma-A
SUV,2112,3178,80.8,214.2,Fusion-C
Transport,2543,3817,97.7,308.0,Plasma-A
Transport,2424,3635,105.3,317.0,Plasma-A
Sedan,1541,2304,45.0,160.2,Fusion-B
Micro,941,1405,20.7,104.5,Ion-A
SUV,2124,3194,64.5,203.2,Fusion-C
Transport,2673,4002,113.0,315.9,Plasma-A
Sedan,1497,2245,46.4,167.4,Fusion-B
Coupe,1217,1830,37.6,133.8,Ion-B
SUV,2102,3149,75.2,232.2,Fusion-C
Transport,2778,4162,112.1,330.2,Plasma-A
SUV,1899,2853,67.0,197.7,Fusion-C
Coupe,1313,1968,37.6,123.4,Ion-B
Sedan,1487,2226,50.1,196.7,Fusion-B
Transport,2256,3380,78.6,260.1,Plasma-A
SUV,2093,3133,55.9,216.2,Fusion-C
Transport,2527,3793,107.5,274.8,Plasma-A
Sedan,1530,2293,53.0,151.4,Fusion-B
Coupe,1269,1897,32.4,107.6,Ion-B
Coupe,1282,1926,39.7,131.9,Ion-B
Micro,1026,1535,27.8,80.5,Ion-A
Sedan,1533,2292,50.1,200.0,Fusion-B
Coupe,1340,2017,46.1,98.6,Ion-B
Coupe,1386,2072,38.6,143.1,Ion-B
Transport,2737,4108,76.3,358.5,Plasma-A
Coupe,1320,1975,37.6,137.7,Ion-B
Micro,1019,1534,23.3,94.6,Ion-A
Coupe,1349,2020,37.6,182.5280644481887,Ion-B
SUV,2002,2994,68.9,243.9,Fusion-C
Sedan,1444,2163,47.2,165.5,Fusion-B
SUV,2077,3125,71.1,200.7,Fusion-C
Transport,2449,3679,85.3,343.0,Plasma-A
Sedan,1596,2402,54.8,194.2,Fusion-B
SUV,2154,3221,62.8,222.9,Fusion-C
Transport,2629,3947,93.8,264.6,Plasma-A
Transport,2370,3549,99.2,327.8,Plasma-A
Micro,1024,1541,26.5,107.8,Ion-A
Sedan,1545,2309,49.9,187.3,Fusion-B
SUV,2194,3296,73.6,256.8,Fusion-C
Transport,2575,3862,102.1,234.7,Plasma-A
Coupe,1209,1820,40.0,116.7,Ion-B
Transport,2411,3612,97.7,300.4,Plasma-A
Transport,2469,3703,91.9,277.9,Plasma-A
Sedan,1467,2198,52.6,187.9,Fusion-B
Sedan,1514,2271,46.2,155.4,Fusion-B
Transport,2650,3968,118.8,345.6,Plasma-A
Coupe,1324,1979,35.8,112.6,Ion-B
Sedan,1550,2334,40.2,135.8,Fusion-B
Sedan,1566,2357,55.4,168.1,Fusion-B
Transport,2711,4058,106.8,322.5,Plasma-A
Transport,2686,4027,117.9,255.2,Plasma-A
Transport,2361,3549,97.7,249.0,Plasma-A
Sedan,1402,2096,50.8,151.7,Fusion-B
Sedan,1518,2279,57.4,159.0,Fusion-B
Coupe,1251,1871,43.7,107.1,Ion-B
Transport,2660,3987,81.9,182.5280644481887,Plasma-A
Transport,2672,4014,84.4,317.5,Plasma-A
Sedan,1406,2108,59.4,152.6,Fusion-B
Coupe,1336,2003,39.4,142.7,Ion-B
SUV,2102,3149,58.7,220.6,Fusion-C
SUV,2047,3062,75.5,216.7,Fusion-C
Micro,968,1452,24.5,102.4,Ion-A
Micro,1083,1628,30.0,80.0,Ion-A
SUV,2015,3031,71.5,216.5,Fusion-C
SUV,2141,3215,57.7,223.8,Fusion-C
Transport,2705,4059,85.9,295.6,Plasma-A
SUV,1948,2914,67.0,229.0,Fusion-C
Micro,1083,1632,24.8,90.1,Ion-A
Transport,2306,3454,99.4,298.9,Plasma-A
Micro,949,1425,23.0,105.7,Ion-A
Micro,1071,1609,18.7,115.6,Ion-A
Coupe,1230,1835,35.0,105.5,Ion-B
Micro,936,1395,26.4,117.0,Ion-A
Transport,2242,3371,107.8,274.7,Plasma-A
SUV,1966,2945,79.3,181.2,Fusion-C
Transport,2411,3610,97.7,274.1,Plasma-A
Coupe,1247,1871,37.1,138.0,Ion-B
SUV,2070,3102,70.5,208.6,Fusion-C
Micro,990,1482,31.9,90.9,Ion-A
Coupe,1364,2056,30.1,110.3,Ion-B
Micro,1011,1509,32.5,90.3,Ion-A
Coupe,1328,1992,42.0,182.5280644481887,Ion-B
SUV,1830,2742,75.4,201.4,Fusion-C
Coupe,1219,1835,35.6,129.4,Ion-B
Sedan,1578,2363,42.2,159.4,Fusion-B
Transport,2471,3697,85.4,305.0,Plasma-A
Transport,2477,3720,113.4,333.2,Plasma-A
Micro,984,1478,27.4,90.1,Ion-A
Coupe,1274,1916,37.6,103.5,Ion-B
Sedan,1423,2142,54.0,155.2,Fusion-B
Micro,936,1398,22.5,107.5,Ion-A
Coupe,1374,2060,35.8,124.3,Ion-B
Micro,1041,1562,25.5,182.5280644481887,Ion-A
SUV,2143,3217,59.5,173.8,Fusion-C
Coupe,1258,1893,45.7,135.6,Ion-B
SUV,1860,2782,56.6,200.4,Fusion-C
Transport,2230,3344,108.3,283.1,Plasma-A
SUV,2128,3197,58.9,260.5,Fusion-C
Micro,1098,1640,25.9,182.5280644481887,Ion-A
Coupe,1369,2050,38.3,106.2,Ion-B
Micro,918,1379,27.2,126.0,Ion-A
Coupe,1264,1888,35.4,125.6,Ion-B
Coupe,1374,2055,35.9,125.9,Ion-B
Coupe,1347,2016,37.1,123.3,Ion-B
SUV,2042,3063,63.2,215.5,Fusion-C
Micro,1002,1502,29.6,96.2,Ion-A
Transport,2634,3948,98.9,249.8,Plasma-A
Micro,930,1402,25.4,112.2,Ion-A
SUV,2092,3146,61.9,244.8,Fusion-C
Transport,2220,3326,96.7,308.8,Plasma-A
Coupe,1384,2068,40.7,149.2,Ion-B
SUV,1836,2762,56.8,238.4,Fusion-C
Sedan,1503,2253,42.2,163.8,Fusion-B
SUV,2111,3161,78.2,223.1,Fusion-C
Coupe,1325,1985,33.0,182.5280644481887,Ion-B
Coupe,1384,2071,43.9,182.5280644481887,Ion-B
Transport,2267,3407,78.1,302.2,Plasma-A
Transport,2785,4181,86.6,344.9,Plasma-A
Coupe,1224,1828,31.0,101.1,Ion-B
Micro,999,1499,27.4,99.9,Ion-A
Coupe,1364,2037,36.0,104.1,Ion-B
SUV,1798,2704,65.4,224.3,Fusion-C
Transport,2788,4183,85.5,282.7,Plasma-A
Transport,2585,3878,102.0,291.0,Plasma-A
Coupe,1217,1827,29.7,129.3,Ion-B
Micro,949,1419,27.4,89.1,Ion-A
Coupe,1220,1832,35.1,136.3,Ion-B
Micro,913,1367,23.6,103.0,Ion-A
Transport,2603,3912,78.6,292.0,Plasma-A
Coupe,1369,2045,32.1,153.7,Ion-B
Coupe,1279,1914,45.4,121.0,Ion-B
SUV,1902,2851,77.4,222.0,Fusion-C
Coupe,1217,1830,39.6,126.4,Ion-B
Sedan,1521,2289,56.1,182.5280644481887,Fusion-B
Micro,1048,1564,27.4,102.3,Ion-A
Sedan,1546,2329,60.5,180.3,Fusion-B
SUV,1820,2724,57.9,202.4,Fusion-C
SUV,2180,3271,55.6,257.0,Fusion-C
SUV,2192,3294,66.6,244.4,Fusion-C
SUV,2196,3285,67.0,257.8,Fusion-C
Sedan,1578,2360,46.5,184.4,Fusion-B
SUV,1940,2906,77.4,196.3,Fusion-C
Transport,2687,4034,120.7,182.5280644481887,Plasma-A
Transport,2485,3719,93.5,312.1,Plasma-A
Coupe,1302,1952,42.7,117.1,Ion-B
Transport,2760,4149,89.1,289.5,Plasma-A
Micro,962,1451,21.4,111.7,Ion-A
Transport,2311,3476,97.7,331.3,Plasma-A
Sedan,1588,2388,46.5,186.8,Fusion-B
Sedan,1556,2340,44.4,186.2,Fusion-B
Sedan,1585,2380,60.9,191.2,Fusion-B
SUV,2179,3264,67.0,200.1,Fusion-C
Transport,2264,3397,111.2,298.7,Plasma-A
SUV,2129,3192,67.0,257.1,Fusion-C
Transport,2316,3468,85.5,259.8,Plasma-A
Transport,2572,3862,110.1,182.5280644481887,Plasma-A
SUV,2117,3184,68.2,210.2,Fusion-C
Transport,2597,3893,102.7,298.5,Plasma-A
Transport,2475,3713,80.9,287.1,Plasma-A
Coupe,1289,1926,29.0,139.5,Ion-B
SUV,1992,2990,59.7,237.3,Fusion-C
Micro,1062,1589,31.5,81.2,Ion-A
SUV,2184,3267,65.0,196.2,Fusion-C
SUV,2087,3132,61.7,234.3,Fusion-C
Micro,959,1437,22.5,88.6,Ion-A
Coupe,1326,1979,29.9,133.6,Ion-B
Sedan,1429,2145,46.0,168.5,Fusion-B
SUV,1965,2941,53.8,207.3,Fusion-C
SUV,2054,3076,75.7,264.7,Fusion-C
SUV,1916,2876,70.1,199.4,Fusion-C
Coupe,1399,2100,38.3,182.5280644481887,Ion-B
Coupe,1300,1947,34.8,126.4,Ion-B
Coupe,1300,1957,38.6,128.2,Ion-B
SUV,1838,2761,64.1,249.9,Fusion-C
SUV,2150,3225,79.0,250.6,Fusion-C
Micro,1034,1546,25.3,102.7,Ion-A
Sedan,1512,2266,56.7,147.5,Fusion-B
Micro,961,1447,25.7,90.0,Ion-A
Coupe,1392,2095,41.5,129.6,Ion-B
Transport,2602,3910,113.0,236.7,Plasma-A
SUV,1906,2869,76.7,182.5280644481887,Fusion-C
Transport,2645,3976,92.6,254.7,Plasma-A
Micro,1061,1584,30.0,121.5,Ion-A
Transport,2419,3638,80.6,258.3,Plasma-A
Coupe,1380,2074,40.4,109.8,Ion-B
