car_type,car_model,engine_class,chassis_weight_kg,moment_of_inertia,engine_weight_kg,thruster_weight_kg,fuel_weight_kg,starting_fuel_kWh,fuel_type,energy_density_MJ_per_kg,mass_density_kg_per_L,total_thrust_kN,thrust_rear_kN,thrust_front_kN,thrust_side_kN,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Average_Threat_Angle_Offset,heading_deg,previous_heading_deg,test_id,test_date,assigned_by,mission_type,crew_status,navigation_mode,origin_station,destination_station,car_color,last_telemetry_message,ship_serial_number
Micro,Nimbus X1,Ion-A,700,0.8,147,100,161,212.6,PlasmaCell,6.7,1.3,48.6,29.2,14.6,4.9,0,9.85,0.64,4,0.14,2,0,27.0,113,109,CASE-8017-T,4025-07-01,Commander Yulo,commute,automated,auto,Zenthar Relay,Helion Hub,PaleTurquoise,Clear path confirmed. Continuing cruise.,CXS-6159-IB
Sedan,Stratos M2,Plasma-A,950,1.2,215,135,242,214.1,PlasmaCell,6.7,1.3,62.9,37.7,18.9,6.3,4,4.3,0.62,1,0.26,2,0,51.3,291,111,CASE-6070-G,4025-03-05,Commander Yulo,commute,automated,auto,Vega Spire,Lunaris Port,Red,Re-routing due to unstable path.,CXS-2264-OH
Micro,Nimbus X1,Fusion-B,700,0.8,140,110,224,265.1,IonGel,5.2,1.1,67.6,40.6,20.3,6.8,0,9.3,0.4,3,0.42,0,1,67.3,308,5,CASE-1627-V,4025-07-03,Dr. Calix Renner,commute,automated,auto,Vega Spire,Zenthar Relay,NavajoWhite,Minor vibration detected. Monitoring systems.,CXS-7266-RU
Sedan,Stratos M2,Fusion-B,950,1.2,219,133,181,208.0,IonGel,5.2,1.1,46.0,27.6,13.8,4.6,8,1.81,0.49,3,0.15,2,0,42.8,25,280,CASE-992-M,4025-08-25,Dr. Calix Renner,commute,automated,auto,Cryon Reach,Orryx Haven,LightSalmon,Clear path confirmed. Continuing cruise.,CXS-7540-GD
SUV,Vortex R7,Fusion-B,1250,1.5,260,165,211,254.8,PlasmaCell,6.7,1.3,45.2,27.1,13.6,4.5,3,6.05,1.0,4,0.25,0,2,69.9,165,350,CASE-1501-V,4025-07-21,Tamsin Ryx,commute,automated,auto,Orryx Haven,Thalos Crossing,HotPink,Clear path confirmed. Continuing cruise.,CXS-2467-UU
Sedan,Stratos M2,Plasma-A,950,1.2,232,127,189,138.1,FusionCore,8.4,1.6,53.8,32.3,16.1,5.4,7,6.61,0.5,1,0.2,2,1,68.2,43,57,CASE-349-B,4025-10-27,Marshal Keir,commute,automated,auto,Lunaris Port,Zenthar Relay,MediumSeaGreen,Re-routing due to unstable path.,CXS-1893-HE
Sedan,Stratos M2,Plasma-A,950,1.2,259,109,103,168.7,FusionCore,8.4,1.6,72.2,43.3,21.7,7.2,8,2.91,0.59,2,0.55,4,5,89.3,355,357,CASE-3362-C,4025-06-07,Commander Yulo,commute,automated,auto,Zenthar Relay,Thalos Crossing,HoneyDew,Power levels nominal. Adjusting trajectory.,CXS-1301-SG
SUV,Vortex R7,Ion-A,1250,1.5,324,197,234,108.7,PlasmaCell,6.7,1.3,46.8,28.1,14.0,4.7,0,1.6,0.69,5,0.85,5,2,77.8,9,149,CASE-5383-Y,4025-08-21,Axel Orov,commute,automated,auto,Zenthar Relay,Cryon Reach,DarkViolet,Power levels nominal. Adjusting trajectory.,CXS-7332-ZT
Sedan,Stratos M2,Ion-A,950,1.2,228,132,125,280.8,PlasmaCell,6.7,1.3,59.4,35.6,17.8,5.9,0,1.36,0.93,2,0.33,3,5,14.1,177,350,CASE-4542-E,4025-08-18,Tamsin Ryx,commute,automated,auto,Vega Spire,Orryx Haven,DarkSeaGreen,Minor vibration detected. Monitoring systems.,CXS-6765-RI
SUV,Vortex R7,Ion-A,1250,1.5,330,159,228,155.2,IonGel,5.2,1.1,42.5,25.5,12.8,4.2,2,4.08,0.45,1,0.09,3,4,86.5,313,320,CASE-1801-V,4025-05-08,Dr. Calix Renner,commute,automated,auto,Zenthar Relay,Cerebra Ring,Bisque,Minor vibration detected. Monitoring systems.,CXS-4726-EA
SUV,Vortex R7,Fusion-B,1250,1.5,280,176,209,294.1,IonGel,5.2,1.1,76.4,45.8,22.9,7.6,8,7.16,0.28,1,0.31,5,4,81.9,220,74,CASE-3898-S,4025-11-05,Marshal Keir,commute,automated,auto,Helion Hub,Thalos Crossing,MediumBlue,Fuel low. Navigating around debris.,CXS-3589-AF
SUV,Vortex R7,Fusion-B,1250,1.5,258,175,284,123.7,PlasmaCell,6.7,1.3,52.7,31.6,15.8,5.3,7,7.71,0.84,5,0.93,2,1,70.1,54,67,CASE-858-E,4025-07-10,Captain Kael,commute,automated,auto,Orryx Haven,Lunaris Port,PeachPuff,Clear path confirmed. Continuing cruise.,CXS-4026-QD
Sedan,Stratos M2,Plasma-A,950,1.2,258,139,255,213.4,FusionCore,8.4,1.6,49.2,29.5,14.8,4.9,7,2.21,0.86,3,0.71,2,1,76.7,251,242,CASE-1041-P,4025-12-25,Captain Kael,commute,automated,auto,Cryon Reach,Lunaris Port,RosyBrown,Power levels nominal. Adjusting trajectory.,CXS-3253-YL
Sedan,Stratos M2,Plasma-A,950,1.2,204,114,204,252.9,IonGel,5.2,1.1,40.6,24.4,12.2,4.1,2,9.34,0.99,4,0.49,2,3,79.9,218,207,CASE-9726-D,4025-04-03,Tamsin Ryx,commute,automated,auto,Zenthar Relay,Cerebra Ring,RoyalBlue,Fuel low. Navigating around debris.,CXS-1685-QH
Micro,Nimbus X1,Plasma-A,700,0.8,167,104,180,178.8,PlasmaCell,6.7,1.3,77.6,46.6,23.3,7.8,8,5.84,0.99,0,0.56,4,5,86.6,97,149,CASE-710-X,4025-01-08,Commander Yulo,commute,automated,auto,Lunaris Port,Vega Spire,Turquoise,Clear path confirmed. Continuing cruise.,CXS-8201-JO
SUV,Vortex R7,Plasma-A,1250,1.5,288,189,218,133.3,FusionCore,8.4,1.6,51.8,31.1,15.5,5.2,8,2.02,0.8,5,0.55,3,3,29.1,12,91,CASE-510-B,4025-02-24,Commander Yulo,commute,automated,auto,Lunaris Port,Orryx Haven,Silver,Clear path confirmed. Continuing cruise.,CXS-8433-MN
Micro,Nimbus X1,Plasma-A,700,0.8,177,92,123,150.0,FusionCore,8.4,1.6,67.7,40.6,20.3,6.8,5,1.77,0.74,5,0.79,4,4,85.5,193,281,CASE-1768-P,4025-12-15,Elia Vorn,commute,automated,auto,Orryx Haven,Vega Spire,Red,Power levels nominal. Adjusting trajectory.,CXS-7235-CC
Sedan,Stratos M2,Fusion-B,950,1.2,201,121,268,272.5,PlasmaCell,6.7,1.3,46.5,27.9,13.9,4.7,7,3.6,0.26,1,0.96,0,4,68.9,6,234,CASE-9966-E,4025-05-24,Zara Strix,commute,automated,auto,Orryx Haven,Lunaris Port,Coral,Re-routing due to unstable path.,CXS-9153-EI
SUV,Vortex R7,Plasma-A,1250,1.5,319,191,255,276.5,IonGel,5.2,1.1,49.5,29.7,14.8,5.0,0,3.2,0.59,4,0.63,1,0,16.6,28,334,CASE-9590-R,4025-10-20,Commander Yulo,commute,automated,auto,Thalos Crossing,Cerebra Ring,MediumOrchid,Power levels nominal. Adjusting trajectory.,CXS-6718-MT
Sedan,Stratos M2,Plasma-A,950,1.2,198,102,247,267.6,PlasmaCell,6.7,1.3,51.9,31.1,15.6,5.2,4,6.5,0.72,4,0.57,4,1,87.0,296,184,CASE-4831-O,4025-03-06,Elia Vorn,commute,automated,auto,Vega Spire,Lunaris Port,Tan,Clear path confirmed. Continuing cruise.,CXS-1587-TN
Sedan,Stratos M2,Ion-A,950,1.2,218,120,197,264.1,FusionCore,8.4,1.6,70.3,42.2,21.1,7.0,4,3.96,0.47,1,0.7,4,0,9.8,322,270,CASE-1874-U,4025-02-23,Commander Yulo,commute,automated,auto,Vega Spire,Zenthar Relay,IndianRed,Fuel low. Navigating around debris.,CXS-2436-NO
SUV,Vortex R7,Ion-A,1250,1.5,338,178,173,185.4,PlasmaCell,6.7,1.3,73.9,44.3,22.2,7.4,8,7.56,0.55,1,0.88,1,5,26.1,99,0,CASE-6779-K,4025-10-16,Marshal Keir,commute,automated,auto,Zenthar Relay,Helion Hub,SaddleBrown,Minor vibration detected. Monitoring systems.,CXS-2936-MN
Sedan,Stratos M2,Plasma-A,950,1.2,239,140,288,269.6,IonGel,5.2,1.1,72.0,43.2,21.6,7.2,3,1.1,0.28,2,0.25,0,2,27.0,281,165,CASE-1557-K,4025-09-26,Captain Kael,commute,automated,auto,Cerebra Ring,Lunaris Port,Pink,Re-routing due to unstable path.,CXS-1100-KV
Sedan,Stratos M2,Fusion-B,950,1.2,222,121,285,213.8,FusionCore,8.4,1.6,78.4,47.0,23.5,7.8,7,8.18,0.68,3,0.16,3,4,80.6,236,211,CASE-6132-E,4025-11-16,Captain Kael,commute,automated,auto,Orryx Haven,Cryon Reach,Sienna,Re-routing due to unstable path.,CXS-1917-CC
Micro,Nimbus X1,Ion-A,700,0.8,139,116,273,163.1,PlasmaCell,6.7,1.3,61.4,36.8,18.4,6.1,0,4.05,0.44,4,0.84,4,4,35.1,304,59,CASE-1527-N,4025-03-09,Captain Kael,commute,automated,auto,Cryon Reach,Helion Hub,DarkGray,Power levels nominal. Adjusting trajectory.,CXS-6050-XX
Micro,Nimbus X1,Fusion-B,700,0.8,174,100,108,154.3,PlasmaCell,6.7,1.3,43.5,26.1,13.0,4.4,4,2.58,0.44,0,0.78,0,3,45.5,247,256,CASE-2131-R,4025-04-17,Commander Yulo,commute,automated,auto,Cryon Reach,Helion Hub,Chocolate,Re-routing due to unstable path.,CXS-3524-SR
Sedan,Stratos M2,Plasma-A,950,1.2,223,130,234,162.1,PlasmaCell,6.7,1.3,53.1,31.9,15.9,5.3,8,2.04,0.38,0,0.69,4,0,30.0,23,52,CASE-5400-V,4025-08-13,Tamsin Ryx,commute,automated,auto,Vega Spire,Orryx Haven,DarkRed,Power levels nominal. Adjusting trajectory.,CXS-9529-NL
Micro,Nimbus X1,Plasma-A,700,0.8,167,99,247,251.7,IonGel,5.2,1.1,65.6,39.4,19.7,6.6,8,3.87,0.5,0,0.27,1,2,10.3,318,286,CASE-6929-X,4025-05-09,Tamsin Ryx,commute,automated,auto,Cryon Reach,Helion Hub,CadetBlue,Fuel low. Navigating around debris.,CXS-9422-JT
Sedan,Stratos M2,Fusion-B,950,1.2,206,134,240,163.7,FusionCore,8.4,1.6,45.7,27.4,13.7,4.6,5,5.87,0.15,0,0.47,5,0,9.5,27,44,CASE-5761-D,4025-05-20,Marshal Keir,commute,automated,auto,Zenthar Relay,Cryon Reach,Tan,Power levels nominal. Adjusting trajectory.,CXS-7987-GE
SUV,Vortex R7,Plasma-A,1250,1.5,272,185,251,225.9,PlasmaCell,6.7,1.3,67.6,40.6,20.3,6.8,8,1.71,0.93,3,0.57,0,5,42.1,233,158,CASE-7900-H,4025-04-23,Axel Orov,commute,automated,auto,Thalos Crossing,Helion Hub,DarkMagenta,Re-routing due to unstable path.,CXS-8625-LR
SUV,Vortex R7,Fusion-B,1250,1.5,279,200,136,272.2,IonGel,5.2,1.1,64.7,38.8,19.4,6.5,7,1.27,0.53,2,0.48,1,2,69.1,309,294,CASE-1882-Y,4025-06-15,Marshal Keir,commute,automated,auto,Helion Hub,Cerebra Ring,LightSeaGreen,Re-routing due to unstable path.,CXS-3087-SH
Micro,Nimbus X1,Fusion-B,700,0.8,126,105,127,165.2,PlasmaCell,6.7,1.3,66.0,39.6,19.8,6.6,3,5.93,0.98,3,0.07,1,5,53.2,222,290,CASE-9190-Y,4025-07-08,Zara Strix,commute,automated,auto,Zenthar Relay,Thalos Crossing,Bisque,Minor vibration detected. Monitoring systems.,CXS-6606-TV
Micro,Nimbus X1,Plasma-A,700,0.8,164,95,269,233.9,IonGel,5.2,1.1,69.6,41.8,20.9,7.0,7,2.59,0.96,0,0.6,5,4,69.4,194,167,CASE-4381-A,4025-09-04,Commander Yulo,commute,automated,auto,Thalos Crossing,Vega Spire,Gainsboro,Re-routing due to unstable path.,CXS-9098-IW
Micro,Nimbus X1,Fusion-B,700,0.8,162,83,155,263.4,IonGel,5.2,1.1,75.5,45.3,22.6,7.6,6,6.54,0.5,1,0.68,2,2,51.3,347,155,CASE-5567-L,4025-09-10,Marshal Keir,commute,automated,auto,Lunaris Port,Orryx Haven,AntiqueWhite,Clear path confirmed. Continuing cruise.,CXS-8122-FE
Micro,Nimbus X1,Plasma-A,700,0.8,178,102,249,101.6,IonGel,5.2,1.1,79.5,47.7,23.8,8.0,0,1.01,0.6,2,0.11,2,0,21.2,359,302,CASE-6566-C,4025-06-18,Axel Orov,commute,automated,auto,Cerebra Ring,Orryx Haven,DarkTurquoise,Power levels nominal. Adjusting trajectory.,CXS-7459-XU
Micro,Nimbus X1,Ion-A,700,0.8,140,104,197,187.0,FusionCore,8.4,1.6,48.4,29.0,14.5,4.8,5,8.56,0.24,5,0.13,0,0,58.4,73,249,CASE-1503-X,4025-09-13,Marshal Keir,commute,automated,auto,Orryx Haven,Thalos Crossing,Wheat,Fuel low. Navigating around debris.,CXS-8155-GM
Sedan,Stratos M2,Fusion-B,950,1.2,190,108,206,272.0,PlasmaCell,6.7,1.3,75.7,45.4,22.7,7.6,7,4.46,0.3,3,0.6,4,3,76.2,121,256,CASE-7432-K,4025-07-18,Commander Yulo,commute,automated,auto,Cerebra Ring,Orryx Haven,DimGray,Minor vibration detected. Monitoring systems.,CXS-5411-LJ
SUV,Vortex R7,Plasma-A,1250,1.5,319,176,108,295.6,FusionCore,8.4,1.6,62.7,37.6,18.8,6.3,8,9.85,0.99,2,0.46,0,4,80.1,45,125,CASE-5314-Y,4025-03-24,Commander Yulo,commute,automated,auto,Helion Hub,Vega Spire,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-8740-BE
Micro,Nimbus X1,Ion-A,700,0.8,167,84,262,207.8,PlasmaCell,6.7,1.3,63.2,37.9,19.0,6.3,7,6.17,0.4,2,0.96,2,2,15.1,355,305,CASE-815-V,4025-08-17,Dr. Calix Renner,commute,automated,auto,Lunaris Port,Helion Hub,Cyan,Clear path confirmed. Continuing cruise.,CXS-5981-IO
Micro,Nimbus X1,Plasma-A,700,0.8,170,116,115,225.9,FusionCore,8.4,1.6,63.1,37.9,18.9,6.3,2,5.55,0.87,2,0.25,4,2,24.8,131,7,CASE-6947-P,4025-08-03,Dr. Calix Renner,commute,automated,auto,Lunaris Port,Zenthar Relay,Red,Re-routing due to unstable path.,CXS-2827-NI
Micro,Nimbus X1,Ion-A,700,0.8,131,117,138,231.8,PlasmaCell,6.7,1.3,54.8,32.9,16.4,5.5,8,8.76,0.41,0,0.97,4,1,75.4,211,196,CASE-8394-D,4025-03-26,Tamsin Ryx,commute,automated,auto,Orryx Haven,Zenthar Relay,MediumTurquoise,Clear path confirmed. Continuing cruise.,CXS-4898-ND
Micro,Nimbus X1,Fusion-B,700,0.8,148,120,153,215.6,IonGel,5.2,1.1,73.7,44.2,22.1,7.4,6,5.29,0.53,4,0.23,5,5,35.1,134,74,CASE-9717-P,4025-03-15,Elia Vorn,commute,automated,auto,Lunaris Port,Zenthar Relay,Violet,Power levels nominal. Adjusting trajectory.,CXS-9690-VJ
SUV,Vortex R7,Ion-A,1250,1.5,251,158,197,235.7,FusionCore,8.4,1.6,78.5,47.1,23.6,7.9,4,4.01,0.34,0,0.26,4,3,41.5,345,123,CASE-3612-M,4025-10-21,Captain Kael,commute,automated,auto,Lunaris Port,Vega Spire,Chartreuse,Clear path confirmed. Continuing cruise.,CXS-4193-AG
Micro,Nimbus X1,Fusion-B,700,0.8,141,91,240,102.1,FusionCore,8.4,1.6,40.3,24.2,12.1,4.0,7,4.16,0.75,2,0.19,0,4,8.3,304,336,CASE-3460-Y,4025-09-04,Zara Strix,commute,automated,auto,Vega Spire,Lunaris Port,DarkSlateGray,Power levels nominal. Adjusting trajectory.,CXS-4552-YI
Micro,Nimbus X1,Fusion-B,700,0.8,160,87,130,117.3,PlasmaCell,6.7,1.3,64.2,38.5,19.3,6.4,7,6.94,0.17,3,0.92,2,3,62.3,341,165,CASE-5375-D,4025-05-10,Elia Vorn,commute,automated,auto,Cerebra Ring,Orryx Haven,AntiqueWhite,Fuel low. Navigating around debris.,CXS-5216-PX
Sedan,Stratos M2,Fusion-B,950,1.2,189,117,197,177.7,IonGel,5.2,1.1,79.8,47.9,23.9,8.0,6,2.61,0.54,1,0.54,3,1,55.3,54,226,CASE-2878-E,4025-08-07,Commander Yulo,commute,automated,auto,Zenthar Relay,Orryx Haven,Olive,Power levels nominal. Adjusting trajectory.,CXS-5243-RW
Sedan,Stratos M2,Ion-A,950,1.2,184,104,246,245.5,IonGel,5.2,1.1,71.1,42.7,21.3,7.1,6,3.4,0.73,3,0.57,4,5,84.6,251,244,CASE-8196-R,4025-01-22,Marshal Keir,commute,automated,auto,Lunaris Port,Thalos Crossing,MidnightBlue,Power levels nominal. Adjusting trajectory.,CXS-8144-CM
SUV,Vortex R7,Plasma-A,1250,1.5,258,174,100,176.9,IonGel,5.2,1.1,67.6,40.6,20.3,6.8,6,1.5,1.0,5,0.09,4,2,7.2,235,148,CASE-693-N,4025-11-10,Captain Kael,commute,automated,auto,Thalos Crossing,Vega Spire,Azure,Re-routing due to unstable path.,CXS-4327-OC
Sedan,Stratos M2,Fusion-B,950,1.2,250,102,269,138.2,FusionCore,8.4,1.6,67.8,40.7,20.3,6.8,3,2.26,0.27,5,1.0,1,3,35.0,276,329,CASE-9433-N,4025-11-15,Commander Yulo,commute,automated,auto,Vega Spire,Helion Hub,PaleGreen,Power levels nominal. Adjusting trajectory.,CXS-6041-WU
SUV,Vortex R7,Fusion-B,1250,1.5,318,193,104,107.4,FusionCore,8.4,1.6,42.2,25.3,12.7,4.2,8,5.13,0.71,4,0.15,4,1,83.2,18,72,CASE-4743-D,4025-11-22,Elia Vorn,commute,automated,auto,Lunaris Port,Cerebra Ring,PaleGreen,Fuel low. Navigating around debris.,CXS-9010-AK
Micro,Nimbus X1,Ion-A,700,0.8,121,110,111,148.5,PlasmaCell,6.7,1.3,66.0,39.6,19.8,6.6,2,8.52,0.16,0,0.11,4,4,19.9,103,218,CASE-7538-W,4025-02-15,Dr. Calix Renner,commute,automated,auto,Lunaris Port,Orryx Haven,MistyRose,Re-routing due to unstable path.,CXS-6527-CN
Micro,Nimbus X1,Ion-A,700,0.8,163,105,130,295.2,FusionCore,8.4,1.6,63.0,37.8,18.9,6.3,5,1.57,0.35,3,0.17,2,4,14.9,124,297,CASE-3986-N,4025-10-06,Tamsin Ryx,commute,automated,auto,Orryx Haven,Helion Hub,PaleGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-1666-QC
Sedan,Stratos M2,Fusion-B,950,1.2,192,150,256,175.2,PlasmaCell,6.7,1.3,46.3,27.8,13.9,4.6,4,4.75,0.83,3,0.69,1,1,57.6,267,230,CASE-5083-X,4025-03-03,Dr. Calix Renner,commute,automated,auto,Thalos Crossing,Vega Spire,MediumSlateBlue,Power levels nominal. Adjusting trajectory.,CXS-7750-HK
Sedan,Stratos M2,Ion-A,950,1.2,202,139,109,219.3,PlasmaCell,6.7,1.3,68.7,41.2,20.6,6.9,3,2.73,0.99,0,0.62,4,4,19.7,320,337,CASE-1251-Q,4025-01-18,Captain Kael,commute,automated,auto,Vega Spire,Zenthar Relay,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-4409-QQ
SUV,Vortex R7,Ion-A,1250,1.5,256,152,138,237.0,IonGel,5.2,1.1,78.7,47.2,23.6,7.9,5,3.57,0.49,2,0.62,3,0,9.4,26,275,CASE-5724-L,4025-01-21,Marshal Keir,commute,automated,auto,Thalos Crossing,Orryx Haven,DarkViolet,Power levels nominal. Adjusting trajectory.,CXS-3881-HD
Sedan,Stratos M2,Ion-A,950,1.2,183,131,129,114.2,PlasmaCell,6.7,1.3,49.4,29.6,14.8,4.9,5,3.07,0.2,1,0.1,5,3,78.3,192,112,CASE-4193-G,4025-12-22,Zara Strix,commute,automated,auto,Thalos Crossing,Helion Hub,ForestGreen,Fuel low. Navigating around debris.,CXS-2204-TE
SUV,Vortex R7,Plasma-A,1250,1.5,324,171,211,129.0,IonGel,5.2,1.1,77.1,46.3,23.1,7.7,3,6.69,0.98,1,0.34,0,5,51.2,143,69,CASE-1234-F,4025-03-15,Zara Strix,commute,automated,auto,Thalos Crossing,Orryx Haven,Snow,Re-routing due to unstable path.,CXS-2820-OY
SUV,Vortex R7,Plasma-A,1250,1.5,308,166,294,168.7,IonGel,5.2,1.1,75.5,45.3,22.6,7.6,3,6.32,0.85,2,0.01,3,5,78.5,126,167,CASE-9494-O,4025-09-16,Elia Vorn,commute,automated,auto,Orryx Haven,Cryon Reach,MediumBlue,Clear path confirmed. Continuing cruise.,CXS-8114-UK
Micro,Nimbus X1,Ion-A,700,0.8,134,117,246,279.7,IonGel,5.2,1.1,56.7,34.0,17.0,5.7,7,8.29,0.73,0,0.45,1,0,50.3,6,354,CASE-7205-C,4025-09-13,Dr. Calix Renner,commute,automated,auto,Lunaris Port,Thalos Crossing,SeaShell,Clear path confirmed. Continuing cruise.,CXS-7662-OU
Sedan,Stratos M2,Fusion-B,950,1.2,196,122,161,229.5,FusionCore,8.4,1.6,43.6,26.2,13.1,4.4,0,9.79,0.52,1,0.87,3,1,71.1,189,320,CASE-4500-S,4025-10-24,Marshal Keir,commute,automated,auto,Thalos Crossing,Zenthar Relay,Chartreuse,Clear path confirmed. Continuing cruise.,CXS-8607-LQ
Micro,Nimbus X1,Ion-A,700,0.8,160,80,118,177.0,PlasmaCell,6.7,1.3,67.6,40.6,20.3,6.8,8,6.18,0.29,5,0.08,2,5,83.9,263,345,CASE-5085-O,4025-12-20,Zara Strix,commute,automated,auto,Lunaris Port,Zenthar Relay,RoyalBlue,Re-routing due to unstable path.,CXS-6963-BB
Sedan,Stratos M2,Fusion-B,950,1.2,194,124,219,223.8,FusionCore,8.4,1.6,54.6,32.8,16.4,5.5,8,2.02,0.53,4,0.87,5,1,67.8,115,164,CASE-4703-C,4025-06-08,Tamsin Ryx,commute,automated,auto,Orryx Haven,Vega Spire,DarkGoldenRod,Fuel low. Navigating around debris.,CXS-6778-TT
SUV,Vortex R7,Plasma-A,1250,1.5,314,183,170,110.9,FusionCore,8.4,1.6,54.9,32.9,16.5,5.5,8,9.1,0.51,2,0.8,5,0,17.0,234,44,CASE-6299-O,4025-11-27,Commander Yulo,commute,automated,auto,Thalos Crossing,Vega Spire,BlueViolet,Minor vibration detected. Monitoring systems.,CXS-2313-OZ
SUV,Vortex R7,Plasma-A,1250,1.5,272,158,127,133.0,IonGel,5.2,1.1,44.5,26.7,13.3,4.5,0,3.64,0.97,4,0.93,3,2,37.8,330,10,CASE-3084-K,4025-09-21,Marshal Keir,commute,automated,auto,Orryx Haven,Thalos Crossing,Sienna,Fuel low. Navigating around debris.,CXS-5776-QE
Sedan,Stratos M2,Ion-A,950,1.2,188,101,233,228.9,IonGel,5.2,1.1,56.5,33.9,16.9,5.7,2,9.08,0.38,2,0.23,2,2,69.3,24,75,CASE-7381-D,4025-05-19,Commander Yulo,commute,automated,auto,Helion Hub,Thalos Crossing,MediumSpringGreen,Clear path confirmed. Continuing cruise.,CXS-6785-WC
SUV,Vortex R7,Plasma-A,1250,1.5,308,150,141,242.4,PlasmaCell,6.7,1.3,51.4,30.8,15.4,5.1,2,4.97,0.43,1,0.56,0,5,28.5,176,75,CASE-2827-B,4025-06-19,Elia Vorn,commute,automated,auto,Orryx Haven,Cryon Reach,LightBlue,Power levels nominal. Adjusting trajectory.,CXS-7109-WO
SUV,Vortex R7,Fusion-B,1250,1.5,319,150,177,124.3,PlasmaCell,6.7,1.3,41.0,24.6,12.3,4.1,8,9.78,0.4,5,0.3,2,4,60.0,289,226,CASE-8586-Q,4025-03-01,Commander Yulo,commute,automated,auto,Thalos Crossing,Orryx Haven,DimGray,Re-routing due to unstable path.,CXS-6549-LL
Micro,Nimbus X1,Fusion-B,700,0.8,127,110,135,235.6,IonGel,5.2,1.1,44.7,26.8,13.4,4.5,5,1.5,0.68,4,0.53,2,1,2.0,275,228,CASE-6347-N,4025-06-03,Tamsin Ryx,commute,automated,auto,Lunaris Port,Cerebra Ring,MediumSlateBlue,Clear path confirmed. Continuing cruise.,CXS-2431-VT
Micro,Nimbus X1,Ion-A,700,0.8,145,92,181,220.6,FusionCore,8.4,1.6,60.5,36.3,18.1,6.1,6,4.33,0.44,2,0.34,2,3,78.7,44,110,CASE-5482-C,4025-12-28,Zara Strix,commute,automated,auto,Lunaris Port,Helion Hub,MediumPurple,Fuel low. Navigating around debris.,CXS-8278-DR
Micro,Nimbus X1,Plasma-A,700,0.8,146,108,141,261.1,FusionCore,8.4,1.6,78.8,47.3,23.6,7.9,7,9.9,0.57,2,0.07,4,3,8.0,209,327,CASE-6333-J,4025-04-10,Elia Vorn,commute,automated,auto,Cerebra Ring,Orryx Haven,LightCoral,Fuel low. Navigating around debris.,CXS-5478-XV
SUV,Vortex R7,Plasma-A,1250,1.5,272,175,281,213.6,FusionCore,8.4,1.6,76.6,46.0,23.0,7.7,0,8.41,0.37,4,0.3,4,5,41.7,13,1,CASE-2463-K,4025-09-16,Zara Strix,commute,automated,auto,Cryon Reach,Orryx Haven,Cyan,Re-routing due to unstable path.,CXS-3523-SV
SUV,Vortex R7,Ion-A,1250,1.5,288,180,220,124.8,PlasmaCell,6.7,1.3,66.6,40.0,20.0,6.7,3,1.26,0.79,3,0.99,0,4,67.1,297,246,CASE-5731-J,4025-12-21,Marshal Keir,commute,automated,auto,Zenthar Relay,Cerebra Ring,OrangeRed,Clear path confirmed. Continuing cruise.,CXS-8144-ET
SUV,Vortex R7,Plasma-A,1250,1.5,330,183,277,263.7,FusionCore,8.4,1.6,54.9,32.9,16.5,5.5,5,5.15,0.72,2,0.16,2,2,37.8,182,24,CASE-1388-J,4025-01-05,Marshal Keir,commute,automated,auto,Lunaris Port,Zenthar Relay,OldLace,Minor vibration detected. Monitoring systems.,CXS-5749-UZ
SUV,Vortex R7,Fusion-B,1250,1.5,317,180,231,138.8,IonGel,5.2,1.1,65.1,39.1,19.5,6.5,4,3.44,0.73,2,0.1,4,2,74.1,6,70,CASE-2093-V,4025-11-26,Captain Kael,commute,automated,auto,Vega Spire,Orryx Haven,Violet,Re-routing due to unstable path.,CXS-9489-CU
SUV,Vortex R7,Plasma-A,1250,1.5,297,189,205,168.1,FusionCore,8.4,1.6,76.4,45.8,22.9,7.6,3,8.16,0.6,5,0.83,4,4,64.1,359,58,CASE-6937-Q,4025-04-27,Marshal Keir,commute,automated,auto,Vega Spire,Cryon Reach,MistyRose,Minor vibration detected. Monitoring systems.,CXS-7837-AL
SUV,Vortex R7,Fusion-B,1250,1.5,259,147,104,195.9,IonGel,5.2,1.1,52.5,31.5,15.8,5.2,5,2.55,0.37,5,0.81,1,1,77.1,72,352,CASE-2953-G,4025-09-25,Commander Yulo,commute,automated,auto,Helion Hub,Orryx Haven,MediumSpringGreen,Minor vibration detected. Monitoring systems.,CXS-4712-YP
SUV,Vortex R7,Ion-A,1250,1.5,266,153,120,185.0,IonGel,5.2,1.1,70.5,42.3,21.1,7.1,1,1.3,0.69,4,0.06,0,2,3.9,154,341,CASE-3711-E,4025-01-07,Commander Yulo,commute,automated,auto,Vega Spire,Lunaris Port,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-1168-CJ
